"IL_ID","ILCE_ID","IL_ADI","ILCE_ADI","TOPLAM","MHP","HDP","SAADET","CHP","AK PARTİ"
1,650,"ADANA","ALADAĞ",10655,3566,54,186,1225,5337
1,117,"ADANA","CEYHAN",91140,24828,16577,1084,23568,23590
1,982,"ADANA","ÇUKUROVA",219068,56490,15962,3218,89376,50710
1,227,"ADANA","FEKE",10040,3162,67,210,1538,4720
1,699,"ADANA","İMAMOĞLU",16437,4197,389,361,3643,7547
1,332,"ADANA","KARAİSALI",14053,4349,87,228,1313,7773
1,338,"ADANA","KARATAŞ",13301,3521,863,104,5552,3091
1,379,"ADANA","KOZAN",72226,22185,900,1715,14945,31022
1,473,"ADANA","POZANTI",12406,3366,199,300,2636,5644
1,481,"ADANA","SAİMBEYLİ",8695,3028,48,122,1031,4205
1,981,"ADANA","SARIÇAM",77436,30289,3298,1387,12711,28610
1,4,"ADANA","SEYHAN",441384,79714,94887,6605,138646,113966
1,580,"ADANA","TUFANBEYLİ",10385,4048,105,270,1969,3673
1,627,"ADANA","YUMURTALIK",11154,3978,279,110,2898,3676
1,641,"ADANA","YÜREĞİR",220134,40918,43216,3006,53161,74348
2,5,"ADIYAMAN","ADIYAMAN MERKEZ",150588,6791,41780,3432,14553,82147
2,81,"ADIYAMAN","BESNİ",38318,1790,5812,544,9208,20088
2,144,"ADIYAMAN","ÇELİKHAN",8949,179,2429,245,820,5151
2,244,"ADIYAMAN","GERGER",8062,111,1406,218,403,5717
2,251,"ADIYAMAN","GÖLBAŞI",26172,2867,2391,337,7281,12693
2,320,"ADIYAMAN","KAHTA",54425,513,14012,786,931,37335
2,485,"ADIYAMAN","SAMSAT",4137,116,675,238,112,2946
2,878,"ADIYAMAN","SİNCİK",10014,107,513,104,100,9084
2,882,"ADIYAMAN","TUT",5660,456,372,102,1387,3183
3,8,"AFYONKARAHİSAR","AFYONKARAHİSAR MERKEZ",162329,44130,2245,4216,22277,86862
3,664,"AFYONKARAHİSAR","BAŞMAKÇI",6920,1561,45,66,2174,2855
3,666,"AFYONKARAHİSAR","BAYAT",4740,1048,97,63,883,2439
3,99,"AFYONKARAHİSAR","BOLVADİN",26290,5899,250,475,2771,16458
3,137,"AFYONKARAHİSAR","ÇAY",19910,5342,187,318,4526,9049
3,799,"AFYONKARAHİSAR","ÇOBANLAR",7710,2244,41,116,1109,4090
3,165,"AFYONKARAHİSAR","DAZKIRI",7482,1875,40,105,2076,3245
3,179,"AFYONKARAHİSAR","DİNAR",28760,8383,260,529,6204,12727
3,204,"AFYONKARAHİSAR","EMİRDAĞ",21686,4469,255,544,5369,10562
3,816,"AFYONKARAHİSAR","EVCİLER",4901,1193,16,41,1516,2040
3,837,"AFYONKARAHİSAR","HOCALAR",6127,1631,42,118,660,3427
3,301,"AFYONKARAHİSAR","İHSANİYE",17516,4888,80,258,2048,9897
3,702,"AFYONKARAHİSAR","İSCEHİSAR",14242,2738,69,454,1018,9211
3,854,"AFYONKARAHİSAR","KIZILÖREN",1750,653,12,27,236,768
3,487,"AFYONKARAHİSAR","SANDIKLI",33972,8470,289,856,5275,18175
3,519,"AFYONKARAHİSAR","SİNANPAŞA",25520,6272,129,502,3403,14533
3,532,"AFYONKARAHİSAR","SULTANDAĞI",10883,2458,186,104,5100,2718
3,557,"AFYONKARAHİSAR","ŞUHUT",23857,4855,143,472,4397,13344
4,11,"AĞRI","AĞRI MERKEZ",64610,2364,39350,552,851,19707
4,181,"AĞRI","DİYADİN",18757,192,16671,90,155,1194
4,185,"AĞRI","DOĞUBAYAZIT",53616,870,48004,206,437,3656
4,199,"AĞRI","ELEŞKİRT",15698,406,9808,123,147,4651
4,276,"AĞRI","HAMUR",8417,59,6675,50,46,1292
4,461,"AĞRI","PATNOS",52320,707,46583,215,449,3987
4,560,"AĞRI","TAŞLIÇAY",9447,397,7528,36,98,1209
4,584,"AĞRI","TUTAK",14111,1090,10710,39,155,1913
68,753,"AKSARAY","AĞAÇÖREN",5140,1328,17,104,291,3291
68,20,"AKSARAY","AKSARAY MERKEZ",148954,47565,2868,1790,8377,86364
68,814,"AKSARAY","ESKİL",13889,3760,71,219,866,8735
68,825,"AKSARAY","GÜLAĞAÇ",10000,2240,190,147,1681,5541
68,754,"AKSARAY","GÜZELYURT",6286,1471,63,55,937,3652
68,450,"AKSARAY","ORTAKÖY",18036,5141,188,298,1283,10830
68,759,"AKSARAY","SARIYAHŞİ",2523,650,21,76,265,1460
5,34,"AMASYA","AMASYA MERKEZ",85402,22089,1067,1750,20786,38420
5,260,"AMASYA","GÖYNÜCEK",7066,1385,95,150,1623,3640
5,265,"AMASYA","GÜMÜŞHACIKÖY",16842,2091,239,375,7788,6096
5,831,"AMASYA","HAMAMÖZÜ",2841,618,16,66,710,1340
5,417,"AMASYA","MERZİFON",46762,9334,599,1105,16685,18448
5,534,"AMASYA","SULUOVA",29411,5796,276,984,3802,18043
5,561,"AMASYA","TAŞOVA",21127,6691,155,259,3526,9901
